Jour,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,PMV_ISO,PMV_ASHRAE,aPMV,ePMV,PMV_Gagge,PMV_SET,TSENS,SET,PTS,aSET,eSET,aPTS,ePTS,PTS_SET,PET,PTS_PET,ATHB_PMV,DTS,TSV_3p
7/5/23 18:02,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,24.7020890000000,24.7424860000000,21.6,0.128753000000000,46.6051620000000,0.4783,1.9,0,0.0,0.82,0.82,0.84,0.21,0.4,0.3,0.5,25.0,0.22,0.223937000000000,0.30295100,0.827213000000000,0.572244000000000,0.78,25.52,0.446,0.245,-0.715153000000000,0.0
7/7/23 18:31,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,24.2460860000000,24.5647640000000,21.5,0.057033000000000,58.3237700000000,0.4783,1.6,2,-1.0,0.57,0.57,0.58,0.14,0.3,0.3,0.4,24.5,0.0950000000000000,0.0957270000000000,0.130820000,0.65677600000000,0.406331000000000,0.66,26.37,0.701,0.253,0.49154800000000,1.0
7/8/23 10:26,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,24.7146810000000,24.981858000000,22.6,0.057033000000000,51.9048480000000,0.65365,1.0,2,-1.0,-0.06,-0.06,-0.06,-0.02,0.4,0.5,0.3,25.0,0.22,0.223937000000000,0.30295100,0.827646000000000,0.573163000000000,0.78,24.76,0.218,0.007,0.182570000000000,1.0
7/8/23 15:36,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,25.4016240000000,25.9807340000000,22.6,0.057033000000000,55.6529080000000,0.65365,1.0,0,-1.0,0.26,0.26,0.26,0.06,0.7,0.8,0.5,26.0,0.47,0.48834400000000,0.64721300,1.16659400000000,0.8926040000000,1.02,25.99,0.587000000000000,0.141,0.40389900000000,0.0
7/8/23 21:58,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,25.1349790000000,25.6655060000000,22.6,0.057033000000000,64.1829720000000,0.3614,1.6,1,-1.0,0.68,0.68,0.69,0.17,0.3,0.3,0.4,24.5,0.0950000000000000,0.0957270000000000,0.130820000,0.68576900000000,0.469641000000000,0.66,28.0,1.19,0.379,0.565607000000000,1.0
7/8/23 22:45,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,25.1279200000000,25.9311810000000,22.6,0.128753000000000,64.7239770000000,0.53675,0.8,2,-1.0,-1.23,-1.23,-1.2,-0.36,-0.1,0.0,-0.1,24.5,0.0950000000000000,0.0957270000000000,0.130820000,0.685546000000000,0.469138000000000,0.66,25.01,0.293,-0.159,-0.161329000000000,1.0
7/9/23 8:25,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,25.1601880000000,25.5386890000000,24.2,0.128753000000000,58.0192940000000,0.53675,0.8,2,-1.0,-1.37,-1.37,-1.33,-0.4,-0.1,-0.1,-0.1,24.2,0.0200000000000000,0.0200320000000000,0.0275410000000000,0.593298000000000,0.390895000000000,0.588,24.39,0.107,-0.257,-0.24112500000000,1.0
7/9/23 22:01,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,26.3072710000000,26.8294030000000,24.2,0.057033000000000,59.3769510000000,0.3614,1.6,2,-1.0,0.96,0.96,0.98,0.25,0.5,0.4,0.6,25.5,0.345,0.354782000000000,0.475082000,1.03857900000000,0.825615000000000,0.9,29.05,1.505,0.487,0.347380000000000,1.0
7/9/23 22:47,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,26.5224190000000,27.3525050000000,24.2,0.372,60.0086780000000,0.53675,0.8,1,-1.0,-1.21,-1.16,-1.18,-0.35,-0.1,-0.2,-0.1,24.3,0.0450000000000000,0.0451620000000000,0.0619670000000000,0.664547000000000,0.51381300000000,0.612,25.24,0.362000000000000,-0.196,-0.286417000000000,1.0
7/10/23 9:27,54,Male,Naturally ventilated,Multifamily housing,Cfb,Summer,26.5094430000000,26.7208270000000,25.6,0.372,63.7371260000000,0.53675,0.8,1,-1.0,-1.29,-1.24,-1.25,-0.37,-0.1,-0.2,-0.1,24.1,-0.0050000000000000,-0.0049980000000000,-0.0068850000000000,0.601232000000000,0.458260000000000,0.564,25.24,0.362000000000000,-0.269,-0.349131000000000,1.0
